id,date,description,category,amount,balance
1,2023-01-05,Amazon,Online Shopping,-42.5,1957.5
2,2023-01-10,Dunkin Donuts,Food and Drink,-6.25,1951.25
3,2023-01-15,Employer,Payment,1000.0,2951.25
4,2023-01-20,Uber,Travel,-35.99,2915.26
5,2023-01-25,Netflix,Online Shopping,-12.99,2902.27
6,2023-01-30,CVS,Food and Drink,-22.75,2879.52
7,2023-02-05,Credit Card Payment,Payment,-100.0,2979.52
8,2023-02-10,Shaws Market,Food and Beverage,-49.99,2930.53
9,2023-02-15,Uber,Travel,-27.5,2903.03
10,2023-02-20,Amazon,Online Shopping,-64.5,2838.53
11,2023-02-25,Dunkin Donuts,Food and Drink,-5.75,2832.78
12,2023-02-28,Employer,Payment,1000.0,3832.78
13,2023-03-05,Netflix,Online Shopping,-14.99,3817.79
14,2023-03-10,CVS,Food and Drink,-18.25,3799.54
15,2023-03-15,Credit Card Payment,Payment,-100.0,3899.54
16,2023-03-20,Shaws Market,Food and Beverage,-47.75,3851.79
17,2023-03-25,Dunkin Donuts,Food and Drink,-6.5,3845.29
18,2023-03-30,Employer,Payment,1000.0,4845.29
19,2023-04-05,Starbucks,Food and Drink,-5.75,3894.25
20,2023-04-10,Gas Station,Travel,-35.0,3859.25
21,2023-04-15,Employer,Payment,1000.0,4859.25
22,2023-04-20,Bookstore,Shopping,-23.99,4835.26
23,2023-04-25,Pharmacy,Health,-18.5,4816.76
24,2023-04-30,Online Payment,Payment,-75.0,4741.76
25,2023-05-05,Coffee Shop,Food and Drink,-4.99,4736.77
26,2023-05-10,Online Shopping,Shopping,-88.25,4648.52
27,2023-05-15,Supermarket,Food and Beverage,-67.5,4581.02
28,2023-05-20,Taxi,Travel,-25.0,4556.02
29,2023-05-25,Library,Education,-5.75,4548.27
30,2023-05-30,Employer,Payment,1000.0,5548.27
31,2023-06-05,Movie Theater,Entertainment,-19.99,5528.28
32,2023-06-10,Clothing Store,Shopping,-54.75,5473.53
33,2023-06-15,Restaurant,Food and Drink,-62.5,5408.03
34,2023-06-20,Employer,Payment,1000.0,5408.03
35,2023-07-05,Pharmacy,Health,-14.25,5393.78
36,2023-07-10,Gas Station,Travel,-38.5,5355.28
37,2023-07-15,Restaurant,Food and Drink,-47.75,5307.53
38,2023-07-20,Online Shopping,Shopping,-92.99,5214.54
39,2023-07-25,Employer,Payment,1000.0,6214.54
40,2023-07-30,Gym Membership,Health,-29.99,6184.55
41,2023-08-05,Supermarket,Food and Beverage,-63.25,6121.3
42,2023-08-10,Coffee Shop,Food and Drink,-4.99,6116.31
43,2023-08-15,Movie Theater,Entertainment,-21.5,6094.81
44,2023-08-20,Employer,Payment,1000.0,7094.81
45,2023-08-25,Taxi,Travel,-22.75,7062.06
46,2023-08-30,Bookstore,Shopping,-19.99,7042.07
47,2023-09-05,Pharmacy,Health,-15.75,7026.32
48,2023-09-10,Online Shopping,Shopping,-78.5,6947.82
49,2023-09-15,Library,Education,-6.99,6933.83
50,2023-09-20,Employer,Payment,1000.0,7933.83
51,2023-09-25,Clothing Store,Shopping,-54.75,7879.08
52,2023-09-30,Online Payment,Payment,-88.0,7791.08
53,2023-10-05,Coffee Shop,Food and Drink,-5.99,7785.09
54,2023-10-10,Gas Station,Travel,-35.5,7749.59
55,2023-10-15,Online Shopping,Shopping,-42.75,7706.84
56,2023-10-20,Restaurant,Food and Drink,-68.99,7637.85
57,2023-10-25,Credit Card Payment,Payment,-500.0,8137.85
58,2023-10-27,Credit Card Payment,Payment,-500.0,7637.85
59,2023-10-30,Pharmacy,Health,-12.25,7625.6
